CS100,Introduction to Computing
CS101,Programming I
CS102,Programming II,CS101
CS201,Data Structures,CS102
CS301,Algorithms,CS201
CS302,Operating Systems,CS201
CS350,Software Engineering,CS301
CS401,Artificial Intelligence,CS301
CS402,Machine Learning,CS401,STA201
CS403,Cybersecurity,CS302,CS450

IT100,Computer Literacy
IT210,System Administration,IT100
IT310,Network Administration,IT210
IT410,Cloud Infrastructure,IT310

SE200,Object-Oriented Design,CS102
SE300,Software Testing,SE200
SE400,Software Architecture,SE300,CS350

CE101,Digital Logic
CE201,Computer Organization,CE101
CE301,Embedded Systems,CE201
CE401,Microprocessor Design,CE301,EE201

EE101,Circuit Analysis I
EE201,Circuit Analysis II,EE101
EE301,Signals and Systems,EE201
EE401,Digital Signal Processing,EE301,MAT250

ME101,Engineering Graphics
ME201,Statics,PHY201
ME301,Dynamics,ME201
ME401,Thermodynamics,PHY202

AE201,Introduction to Aeronautics,PHY202
AE301,Flight Mechanics,AE201,MAT250

CH101,General Chemistry I
CH102,General Chemistry II,CH101
CH201,Organic Chemistry I,CH102
CH202,Organic Chemistry II,CH201

BIO101,General Biology
BIO201,Genetics,BIO101
BIO301,Microbiology,BIO201
BIO401,Molecular Biology,BIO301,CH201
BIO402,Advanced Genetics,BIO301,BIO450
